price,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,Date,sqft_li_lot,avec_sans_bas
323000,1890,6560,2,1890,0,2003,3/12/2015,0.288109756,0
662500,3560,9796,1,1860,1700,1965,4/3/2015,0.363413638,1
580500,2320,3980,2,2320,0,2003,11/10/2014,0.582914573,0
488000,3160,13603,2,3160,0,2003,7/18/2014,0.232301698,0
301000,2420,4750,2,2420,0,2003,4/7/2015,0.509473684,0
390000,2350,5100,2,2350,0,2003,12/2/2014,0.460784314,0
437500,2320,36847,2,2320,0,1992,5/16/2014,0.062963063,0
660000,2400,6474,1,1560,840,1964,1/2/2015,0.370713624,1
453246,2010,2287,2,1390,620,2014,5/12/2014,0.87888063,1
900000,3400,16603,2,3400,0,2000,3/4/2015,0.204782268,0
425000,1120,1100,2,820,300,2008,2/10/2015,1.018181818,1
260000,1670,5797,2,1670,0,1988,7/25/2014,0.288080041,0
560000,1900,8744,2,1900,0,1987,5/5/2014,0.217291857,0
256883,1690,5025,2,1690,0,2003,5/15/2014,0.336318408,0
465000,2150,4084,2,2150,0,2007,7/23/2014,0.526444662,0
440000,1910,66211,2,1910,0,1997,1/13/2015,0.02884717,0
297000,1940,14952,2,1940,0,1994,11/12/2014,0.129748529,0
677900,2440,4587,2,2440,0,2010,9/19/2014,0.531938086,0
465000,2714,17936,2,2714,0,2005,1/14/2015,0.151315789,0
445838,2250,5692,2,2250,0,2000,7/3/2014,0.395291637,0
516500,1480,4729,2,1480,0,2004,3/3/2015,0.312962571,0
363000,2740,11872,2,2740,0,1990,2/12/2015,0.230795148,0
245000,1730,7442,2,1730,0,1987,9/29/2014,0.232464391,0
272500,2070,9900,1,1420,650,1979,4/9/2015,0.209090909,1
365000,2653,4510,2,2653,0,2006,3/20/2015,0.588248337,0
446500,2650,7286,2,2650,0,1990,3/4/2015,0.363711227,0
335000,2440,7632,2,2440,0,1998,8/11/2014,0.319706499,0
208633,2040,3810,2,2040,0,2006,4/1/2015,0.535433071,0
274975,3030,45004,2,3030,0,1987,10/27/2014,0.067327349,0
679900,2440,5750,2,1980,460,2000,8/5/2014,0.424347826,1
463000,1640,29970,2,1640,0,1992,6/5/2014,0.054721388,0
604950,2110,5608,1,1340,770,2013,8/19/2014,0.376248217,1
330000,1600,26977,2,1600,0,2005,6/18/2014,0.059309782,0
437000,1750,22357,2,1750,0,1994,2/24/2015,0.078275261,0
268000,1550,8134,2,1550,0,1991,3/18/2015,0.190558151,0
577500,2000,7251,2,2000,0,1995,7/23/2014,0.275824024,0
538000,2250,11632,2,2250,0,1988,12/19/2014,0.193431912,0
365000,2200,4052,2,2200,0,2005,5/12/2015,0.542941757,0
237000,1490,2138,2,1490,0,2005,9/3/2014,0.696913003,0
843000,3130,8750,2,3130,0,1991,3/12/2015,0.357714286,0
1030000,3545,9816,1,2610,935,2005,11/10/2014,0.361145069,1
551000,2830,5802,2,2830,0,2001,5/20/2014,0.48776284,0
496500,2260,3640,2,2260,0,1994,1/8/2015,0.620879121,0
342500,1810,5192,2,1810,0,1993,1/6/2015,0.348613251,0
460000,1610,2527,2,1080,530,2005,7/11/2014,0.637119114,1
437500,2120,4500,2,2120,0,2000,11/6/2014,0.471111111,0
750000,2400,7745,2,2400,0,2001,5/7/2015,0.30987734,0
270500,1780,7848,1,1320,460,1978,4/29/2015,0.226809378,1
880000,2870,5163,2,2870,0,2014,12/17/2014,0.555878365,0
435000,1840,5680,2,1840,0,2008,7/28/2014,0.323943662,0
266000,1805,3402,2,1805,0,2009,12/9/2014,0.530570253,0
619000,2720,6439,2,2720,0,2005,5/16/2014,0.422425843,0
290000,1610,2937,2,1610,0,2006,3/24/2015,0.548178413,0
595000,3370,14402,2,3370,0,2004,10/2/2014,0.233995278,0
485000,1880,5502,2,1880,0,1988,9/22/2014,0.341693929,0
260000,1920,7415,2,1920,0,1989,4/15/2015,0.258934592,0
577000,2060,5750,1,1330,730,1976,6/23/2014,0.35826087,1
559950,1660,1458,3,1660,0,2014,8/8/2014,1.138545953,0
650000,2690,11575,1,2130,560,1957,9/12/2014,0.232397408,1
729500,1660,1091,3,1530,130,2015,5/12/2015,1.521539872,1
430000,2360,6699,2,2360,0,2003,9/30/2014,0.352291387,0
337000,1470,3976,2,1470,0,1999,7/23/2014,0.36971831,0
1000000,3180,10492,2,3180,0,1991,4/22/2015,0.303088067,0
475000,1640,5097,2,1640,0,1969,1/21/2015,0.321757897,0
320000,2680,7757,2,2680,0,1990,5/19/2014,0.345494392,0
289950,1670,6186,2,1670,0,2002,8/8/2014,0.269964436,0
636000,2140,2770,2,1770,370,2007,4/20/2015,0.772563177,1
449950,2170,4912,2,2170,0,2003,6/5/2014,0.441775244,0
